dissertation_id,aha_dissertation_id,scholar_id,aha_scholar_id,role
1912,7853,4556,18797,chair
1912,7853,20363,99051,reader
1913,7854,25145,119947,chair
1914,7855,545,6030,chair
1921,7862,27337,127218,chair
1929,7870,4197,17880,chair
1930,7871,3765,16676,chair
1939,7881,30281,137230,chair
1941,7883,24130,117471,chair
1942,7884,21071,102711,chair
1943,7885,3906,17114,chair
1944,7886,5804,22013,chair
1945,7887,22399,111614,chair
1949,7891,27575,128502,chair
1950,7892,49829,162814,chair
1951,7893,7094,35821,chair
1953,7895,24418,118186,chair
1954,7896,4069,17557,chair
1958,7900,372,5539,chair
1961,7903,425,5706,chair
1962,7904,11582,55946,chair
1964,7906,14521,69478,chair
1970,7913,21599,105283,chair
1971,7914,24134,117475,chair
1972,7916,6401,31346,chair
1973,7917,30690,137718,chair
1975,7919,21283,103435,chair
1977,7921,2911,12381,chair
1979,7923,10642,51546,chair
1982,7926,23423,115822,chair
1984,7928,6479,31652,chair
1985,7929,9695,47385,chair
1986,7930,21317,103616,chair
1990,7934,1429,8410,chair
1991,7935,6703,32548,chair
1992,7936,22332,111259,chair
1993,7937,5111,20296,chair
1994,7938,425,5706,chair
1995,7939,24616,118677,chair
1995,7939,20547,100186,reader
